,Unnamed: 0.1,Unnamed: 0,uri,ms,origin,origin_prev_ms
254,254,288.0,0257IbnCabdHakam.FutuhMisr,470,self,False
255,255,289.0,0257IbnCabdHakam.FutuhMisr,471,self,False
2361,0,,0257IbnCabdHakam.FutuhMisr,471,0911Suyuti.HusnMuhadara.92,False
2362,1,,0257IbnCabdHakam.FutuhMisr,471,0911Suyuti.HusnMuhadara.91,True
256,256,290.0,0257IbnCabdHakam.FutuhMisr,475,self,False
2637,0,,0257IbnCabdHakam.FutuhMisr,475,0306Wakic.AkhbarQudat.709,False
2638,1,,0257IbnCabdHakam.FutuhMisr,475,0306Wakic.AkhbarQudat.708,True
257,257,291.0,0257IbnCabdHakam.FutuhMisr,476,self,False
1755,0,,0257IbnCabdHakam.FutuhMisr,476,0306Wakic.AkhbarQudat.709,False
1757,2,,0257IbnCabdHakam.FutuhMisr,476,0930IbnIyas.NuzhatUmam.175,False
1758,3,,0257IbnCabdHakam.FutuhMisr,476,0306Wakic.AkhbarQudat.708,True
258,258,292.0,0257IbnCabdHakam.FutuhMisr,477,self,False
1809,0,,0257IbnCabdHakam.FutuhMisr,477,0306Wakic.AkhbarQudat.708,False
1811,2,,0257IbnCabdHakam.FutuhMisr,477,0306Wakic.AkhbarQudat.707,True
406,406,440.0,0350MuhammadKindi.WulatMisr,477,self,False
796,796,845.0,0347IbnYunusSadafi.Tarikh,477,self,False
259,259,293.0,0257IbnCabdHakam.FutuhMisr,478,self,False
1595,0,,0257IbnCabdHakam.FutuhMisr,478,0306Wakic.AkhbarQudat.708,False
1596,1,,0257IbnCabdHakam.FutuhMisr,478,0306Wakic.AkhbarQudat.707,True
407,407,441.0,0350MuhammadKindi.WulatMisr,478,self,False
260,260,294.0,0257IbnCabdHakam.FutuhMisr,557,self,False
261,261,295.0,0257IbnCabdHakam.FutuhMisr,558,self,False
262,262,296.0,0257IbnCabdHakam.FutuhMisr,559,self,False
263,263,297.0,0257IbnCabdHakam.FutuhMisr,560,self,False
264,264,298.0,0257IbnCabdHakam.FutuhMisr,561,self,False
265,265,299.0,0257IbnCabdHakam.FutuhMisr,562,self,False
266,266,300.0,0257IbnCabdHakam.FutuhMisr,563,self,False
267,267,301.0,0257IbnCabdHakam.FutuhMisr,569,self,False
1964,0,,0257IbnCabdHakam.FutuhMisr,569,0911Suyuti.HusnMuhadara.97,False
724,724,773.0,0350MuhammadKindi.FadailMisr,569,self,False
270,270,304.0,0257IbnCabdHakam.FutuhMisr,657,self,False
271,271,305.0,0257IbnCabdHakam.FutuhMisr,658,self,False
272,272,306.0,0257IbnCabdHakam.FutuhMisr,659,self,False
2475,0,,0257IbnCabdHakam.FutuhMisr,659,0911Suyuti.HusnMuhadara.87,False
2476,1,,0257IbnCabdHakam.FutuhMisr,659,0911Suyuti.HusnMuhadara.86,True
2477,2,,0257IbnCabdHakam.FutuhMisr,659,0930IbnIyas.BadaicZuhur.73,True
273,273,307.0,0257IbnCabdHakam.FutuhMisr,660,self,False
274,274,308.0,0257IbnCabdHakam.FutuhMisr,661,self,False
275,275,309.0,0257IbnCabdHakam.FutuhMisr,662,self,False
276,276,310.0,0257IbnCabdHakam.FutuhMisr,663,self,False
277,277,311.0,0257IbnCabdHakam.FutuhMisr,664,self,False
278,278,312.0,0257IbnCabdHakam.FutuhMisr,665,self,False
279,279,313.0,0257IbnCabdHakam.FutuhMisr,666,self,False
280,280,314.0,0257IbnCabdHakam.FutuhMisr,667,self,False
281,281,315.0,0257IbnCabdHakam.FutuhMisr,668,self,False
282,282,316.0,0257IbnCabdHakam.FutuhMisr,669,self,False
283,283,317.0,0257IbnCabdHakam.FutuhMisr,670,self,False
1753,0,,0257IbnCabdHakam.FutuhMisr,670,0911Suyuti.HusnMuhadara.88,False
1754,1,,0257IbnCabdHakam.FutuhMisr,670,0911Suyuti.HusnMuhadara.87,True
411,411,445.0,0350MuhammadKindi.WulatMisr,670,self,False
284,284,318.0,0257IbnCabdHakam.FutuhMisr,671,self,False
2030,1,,0257IbnCabdHakam.FutuhMisr,671,0874IbnTaghribirdi.NujumZahira.15,False
2032,3,,0257IbnCabdHakam.FutuhMisr,671,0911Suyuti.HusnMuhadara.83,False
2033,4,,0257IbnCabdHakam.FutuhMisr,671,0911Suyuti.HusnMuhadara.84,False
2034,5,,0257IbnCabdHakam.FutuhMisr,671,0911Suyuti.HusnMuhadara.82,True
2035,6,,0257IbnCabdHakam.FutuhMisr,671,0911Suyuti.HusnMuhadara.83,True
285,285,319.0,0257IbnCabdHakam.FutuhMisr,672,self,False
1769,2,,0257IbnCabdHakam.FutuhMisr,672,0911Suyuti.HusnMuhadara.84,False
1770,3,,0257IbnCabdHakam.FutuhMisr,672,0911Suyuti.HusnMuhadara.85,False
1771,4,,0257IbnCabdHakam.FutuhMisr,672,0911Suyuti.HusnMuhadara.86,False
1773,6,,0257IbnCabdHakam.FutuhMisr,672,0930IbnIyas.NuzhatUmam.175,False
1778,11,,0257IbnCabdHakam.FutuhMisr,672,0911Suyuti.HusnMuhadara.83,True
1779,12,,0257IbnCabdHakam.FutuhMisr,672,0911Suyuti.HusnMuhadara.84,True
1780,13,,0257IbnCabdHakam.FutuhMisr,672,0911Suyuti.HusnMuhadara.85,True
286,286,320.0,0257IbnCabdHakam.FutuhMisr,673,self,False
1248,0,,0257IbnCabdHakam.FutuhMisr,673,0911Suyuti.HusnMuhadara.85,False
1249,1,,0257IbnCabdHakam.FutuhMisr,673,0911Suyuti.HusnMuhadara.86,False
1255,7,,0257IbnCabdHakam.FutuhMisr,673,0911Suyuti.HusnMuhadara.84,True
1256,8,,0257IbnCabdHakam.FutuhMisr,673,0911Suyuti.HusnMuhadara.85,True
287,287,321.0,0257IbnCabdHakam.FutuhMisr,674,self,False
1137,1,,0257IbnCabdHakam.FutuhMisr,674,0874IbnTaghribirdi.NujumZahira.15,False
1139,3,,0257IbnCabdHakam.FutuhMisr,674,0911Suyuti.HusnMuhadara.86,False
