,section,book,start,end,first_ms,book2,ms2,section2
155,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,492,509,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
156,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,509,510,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
157,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,516,519,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
158,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,527,532,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
159,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,546,549,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
160,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,552,555,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
161,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,555,556,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
162,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,557,562,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
163,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,562,571,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
164,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,581,585,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
165,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,601,604,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
166,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,612,615,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
167,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,622,625,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
168,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,626,640,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
169,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,1,5,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
170,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,5,65,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
171,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,65,67,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
172,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,78,88,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
