,section,book,start,end,first_ms,book2,ms2,section2,rid
2657,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,142,146,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2658,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,159,162,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2659,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,174,177,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2660,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,206,209,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2661,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,209,224,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2662,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,224,234,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2663,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,249,254,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2664,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,254,341,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2665,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,341,342,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2666,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,342,343,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2667,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,343,344,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2668,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,345,346,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2669,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,346,361,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2670,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,361,364,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2671,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,368,373,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2672,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,373,377,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2673,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,380,385,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2674,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,385,389,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2675,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,389,392,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2676,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,392,463,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2677,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,463,464,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2678,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,466,472,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2679,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,472,474,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2680,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,478,496,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2681,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,496,504,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2682,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,504,507,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2683,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,507,512,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2684,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,522,556,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2685,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,556,574,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2686,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,574,583,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2687,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,0,1,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2688,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,1,26,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2689,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,26,28,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2690,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,35,49,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2691,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,50,58,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2692,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,59,108,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2693,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,108,110,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2694,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,116,135,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2695,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,140,183,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2696,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,183,187,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2697,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,188,192,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2698,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,196,200,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2699,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,222,225,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2700,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,234,238,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2701,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,1549,1598,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2702,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,1598,1599,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2703,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,1602,1603,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2704,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,1603,1675,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2705,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,1682,1685,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2706,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,1686,1689,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2707,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,1696,1700,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2708,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,1705,1708,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2709,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,1709,1712,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2710,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,1718,1725,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2711,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,1725,1726,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2712,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,1726,1728,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2713,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,1729,1730,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2714,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,1730,1735,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2715,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,1745,1748,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2716,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,1753,1758,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2717,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,1766,1772,1361,0660IbnCadim.BughyatTalab,1965,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
