parent_cl_book,level_1_book,level_2_book,level_3_book,ms,row_id
['0845Maqrizi.ImtacAsmac'],['0328AbuBakrIbnAnbari.SharhQasaidSabc'],No Cluster,No Cluster,645,715
['0213IbnHisham.SiraNabawiyya'],['0236AbuCabdAllahZubayri.NasabQuraysh'],No Cluster,No Cluster,646,716
['0213IbnHisham.SiraNabawiyya'],['0213IbnHisham.SiraNabawiyya'],['0213IbnHisham.SiraNabawiyya'],['0845Maqrizi.KhabarCanBashar'],646,717
['0213IbnHisham.SiraNabawiyya'],['0845Maqrizi.KhabarCanBashar'],No Cluster,No Cluster,646,718
['0845Maqrizi.KhabarCanBashar'],['0845Maqrizi.KhabarCanBashar'],No Cluster,No Cluster,646,719
['0821Qalqashandi.SubhAcsha'],No Cluster,No Cluster,No Cluster,678,785
['0821Qalqashandi.SubhAcsha'],No Cluster,No Cluster,No Cluster,680,786
['0350MuhammadKindi.WulatMisr'],['0874IbnTaghribirdi.NujumZahira'],No Cluster,No Cluster,683,788
['0874IbnTaghribirdi.NujumZahira'],['0845Maqrizi.Muqaffa'],No Cluster,No Cluster,684,789
['0874IbnTaghribirdi.NujumZahira'],['0350MuhammadKindi.WulatMisr'],No Cluster,No Cluster,685,790
['0874IbnTaghribirdi.NujumZahira'],['0350MuhammadKindi.WulatMisr'],No Cluster,No Cluster,685,791
['0874IbnTaghribirdi.NujumZahira'],['0350MuhammadKindi.WulatMisr'],No Cluster,No Cluster,685,792
['0350MuhammadKindi.WulatMisr'],['0845Maqrizi.Muqaffa'],No Cluster,No Cluster,691,794
['0350MuhammadKindi.WulatMisr'],No Cluster,No Cluster,No Cluster,695,795
['0588IbnMamun.AkhbarMisr'],No Cluster,No Cluster,No Cluster,697,796
['0350MuhammadKindi.WulatMisr'],['0874IbnTaghribirdi.NujumZahira'],No Cluster,No Cluster,699,797
['0350MuhammadKindi.WulatMisr'],['0571IbnCasakir.TarikhDimashq'],No Cluster,No Cluster,700,798
['0350MuhammadKindi.WulatMisr'],['0874IbnTaghribirdi.NujumZahira'],No Cluster,No Cluster,702,799
['0350MuhammadKindi.WulatMisr'],['0874IbnTaghribirdi.NujumZahira'],No Cluster,No Cluster,705,801
['0350MuhammadKindi.WulatMisr'],['0874IbnTaghribirdi.NujumZahira'],No Cluster,No Cluster,705,802
['0350MuhammadKindi.WulatMisr'],No Cluster,No Cluster,No Cluster,706,803
['0808IbnKhaldun.Tarikh'],['0874IbnTaghribirdi.NujumZahira'],No Cluster,No Cluster,709,804
['0874IbnTaghribirdi.NujumZahira'],No Cluster,No Cluster,No Cluster,710,805
['0350MuhammadKindi.WulatMisr'],['0874IbnTaghribirdi.NujumZahira'],No Cluster,No Cluster,711,806
['0845Maqrizi.Muqaffa'],['0874IbnTaghribirdi.NujumZahira'],No Cluster,No Cluster,711,807
['0350MuhammadKindi.WulatMisr'],['0350MuhammadKindi.WulatMisr'],No Cluster,No Cluster,712,808
['0350MuhammadKindi.WulatMisr'],['0874IbnTaghribirdi.NujumZahira'],No Cluster,No Cluster,714,809
['0874IbnTaghribirdi.NujumZahira'],No Cluster,No Cluster,No Cluster,716,810
['0350Balawi.SiratAhmadIbnTulun'],['0350Balawi.SiratAhmadIbnTulun'],No Cluster,No Cluster,717,811
['0597IbnJawzi.Muntazam'],['0711IbnManzurIfriqi.MukhtasarTarikhDimashq'],No Cluster,No Cluster,717,812
['0350MuhammadKindi.WulatMisr'],No Cluster,No Cluster,No Cluster,720,814
['0350Balawi.SiratAhmadIbnTulun'],['0350Balawi.SiratAhmadIbnTulun'],No Cluster,No Cluster,721,815
['0350Balawi.SiratAhmadIbnTulun'],No Cluster,No Cluster,No Cluster,722,816
